"YEAR","all_case","all_influ_case","AF"
"2014",36638,6574,0.179431191658933
"2015",34838,9242,0.265285033584017
"2016",32852,6860,0.208815292828443
"2017",33564,10214,0.304314146108926
"2018",12802,862,0.0673332291829402
"2019",9130,2764,0.302738225629792
"2020",9632,3396,0.352574750830565
"2021",29522,9802,0.332023575638507
"2022",24536,5280,0.215194000652103
NA,67,0,0
