Entity,Day,Stringency index (non-vaccinated),Stringency index (vaccinated),Stringency index (weighted average)
China,2022-05-05,79.17,79.17,79.17
China,2022-05-06,79.17,79.17,79.17
China,2022-05-07,79.17,79.17,79.17
China,2022-05-08,79.17,79.17,79.17
China,2022-05-09,79.17,79.17,79.17
China,2022-05-10,79.17,79.17,79.17
China,2022-05-11,79.17,79.17,79.17
China,2022-05-12,79.17,79.17,79.17
China,2022-05-13,79.17,79.17,79.17
China,2022-05-14,79.17,79.17,79.17
China,2022-05-15,79.17,79.17,79.17
China,2022-05-16,79.17,79.17,79.17
China,2022-05-17,79.17,79.17,79.17
China,2022-05-18,79.17,79.17,79.17
China,2022-05-19,79.17,79.17,79.17
China,2022-05-20,79.17,79.17,79.17
China,2022-05-21,79.17,79.17,79.17
China,2022-05-22,79.17,79.17,79.17
China,2022-05-23,79.17,79.17,79.17
China,2022-05-24,79.17,79.17,79.17
China,2022-05-25,79.17,79.17,79.17
China,2022-05-26,79.17,79.17,79.17
China,2022-05-27,79.17,79.17,79.17
China,2022-05-28,79.17,79.17,79.17
China,2022-05-29,79.17,79.17,79.17
China,2022-05-30,79.17,79.17,79.17
China,2022-05-31,79.17,79.17,79.17
China,2022-06-01,79.17,79.17,79.17
China,2022-06-02,79.17,79.17,79.17
China,2022-06-03,79.17,79.17,79.17
China,2022-06-04,79.17,79.17,79.17
China,2022-06-05,79.17,79.17,79.17
China,2022-06-06,79.17,79.17,79.17
China,2022-06-07,79.17,79.17,79.17
China,2022-06-08,79.17,79.17,79.17
China,2022-06-09,79.17,79.17,79.17
China,2022-06-10,79.17,79.17,79.17
China,2022-06-11,79.17,79.17,79.17
China,2022-06-12,79.17,79.17,79.17
China,2022-06-13,79.17,79.17,79.17
China,2022-06-14,79.17,79.17,79.17
China,2022-06-15,79.17,79.17,79.17
China,2022-06-16,79.17,79.17,79.17
China,2022-06-17,79.17,79.17,79.17
China,2022-06-18,79.17,79.17,79.17
China,2022-06-19,79.17,79.17,79.17
China,2022-06-20,79.17,79.17,79.17
China,2022-06-21,79.17,79.17,79.17
China,2022-06-22,79.17,79.17,79.17
China,2022-06-23,79.17,79.17,79.17
China,2022-06-24,79.17,79.17,79.17
China,2022-06-25,79.17,79.17,79.17
China,2022-06-26,79.17,79.17,79.17
China,2022-06-27,79.17,79.17,79.17
China,2022-06-28,79.17,79.17,79.17
China,2022-06-29,79.17,79.17,79.17
China,2022-06-30,79.17,79.17,79.17
China,2022-07-01,79.17,79.17,79.17
China,2022-07-02,79.17,79.17,79.17
China,2022-07-03,79.17,79.17,79.17
China,2022-07-04,79.17,79.17,79.17
China,2022-07-05,79.17,79.17,79.17
China,2022-07-06,79.17,79.17,79.17
China,2022-07-07,79.17,79.17,79.17
China,2022-07-08,79.17,79.17,79.17
China,2022-07-09,79.17,79.17,79.17
China,2022-07-10,79.17,79.17,79.17
China,2022-07-11,79.17,79.17,79.17
China,2022-07-12,79.17,79.17,79.17
China,2022-07-13,79.17,79.17,79.17
China,2022-07-14,79.17,79.17,79.17
China,2022-07-15,79.17,79.17,79.17
China,2022-07-16,79.17,79.17,79.17
China,2022-07-17,79.17,79.17,79.17
China,2022-07-18,79.17,79.17,79.17
China,2022-07-19,79.17,79.17,79.17
China,2022-07-20,79.17,79.17,79.17
China,2022-07-21,79.17,79.17,79.17
China,2022-07-22,79.17,79.17,79.17
China,2022-07-23,79.17,79.17,79.17
China,2022-07-24,79.17,79.17,79.17
China,2022-07-25,79.17,79.17,79.17
China,2022-07-26,79.17,79.17,79.17
China,2022-07-27,79.17,79.17,79.17
China,2022-07-28,79.17,79.17,79.17
China,2022-07-29,79.17,79.17,79.17
China,2022-07-30,79.17,79.17,79.17
China,2022-07-31,79.17,79.17,79.17
China,2022-08-01,79.17,79.17,79.17
China,2022-08-02,79.17,79.17,79.17
China,2022-08-03,79.17,79.17,79.17
China,2022-08-04,79.17,79.17,79.17
China,2022-08-05,79.17,79.17,79.17
China,2022-08-06,79.17,79.17,79.17
China,2022-08-07,79.17,79.17,79.17
China,2022-08-08,79.17,79.17,79.17
China,2022-08-09,79.17,79.17,79.17
China,2022-08-10,79.17,79.17,79.17
China,2022-08-11,79.17,79.17,79.17
China,2022-08-12,79.17,79.17,79.17
China,2022-08-13,79.17,79.17,79.17
China,2022-08-14,79.17,79.17,79.17
China,2022-08-15,79.17,79.17,79.17
China,2022-08-16,79.17,79.17,79.17
China,2022-08-17,79.17,79.17,79.17
China,2022-08-18,79.17,79.17,79.17
China,2022-08-19,79.17,79.17,79.17
China,2022-08-20,79.17,79.17,79.17
China,2022-08-21,79.17,79.17,79.17
China,2022-08-22,79.17,79.17,79.17
China,2022-08-23,79.17,79.17,79.17
China,2022-08-24,79.17,79.17,79.17
China,2022-08-25,79.17,79.17,79.17
China,2022-08-26,79.17,79.17,79.17
China,2022-08-27,79.17,79.17,79.17
China,2022-08-28,79.17,79.17,79.17
China,2022-08-29,79.17,79.17,79.17
China,2022-08-30,79.17,79.17,79.17
China,2022-08-31,79.17,79.17,79.17
China,2022-09-01,79.17,79.17,79.17
China,2022-09-02,79.17,79.17,79.17
China,2022-09-03,79.17,79.17,79.17
China,2022-09-04,79.17,79.17,79.17
China,2022-09-05,79.17,79.17,79.17
China,2022-09-06,79.17,79.17,79.17
China,2022-09-07,79.17,79.17,79.17
China,2022-09-08,79.17,79.17,79.17
China,2022-09-09,79.17,79.17,79.17
China,2022-09-10,79.17,79.17,79.17
China,2022-09-11,79.17,79.17,79.17
China,2022-09-12,79.17,79.17,79.17
China,2022-09-13,79.17,79.17,79.17
China,2022-09-14,79.17,79.17,79.17
China,2022-09-15,79.17,79.17,79.17
China,2022-09-16,79.17,79.17,79.17
China,2022-09-17,79.17,79.17,79.17
China,2022-09-18,79.17,79.17,79.17
China,2022-09-19,79.17,79.17,79.17
China,2022-09-20,79.17,79.17,79.17
China,2022-09-21,79.17,79.17,79.17
China,2022-09-22,79.17,79.17,79.17
China,2022-09-23,79.17,79.17,79.17
China,2022-09-24,79.17,79.17,79.17
China,2022-09-25,79.17,79.17,79.17
China,2022-09-26,79.17,79.17,79.17
China,2022-09-27,79.17,79.17,79.17
China,2022-09-28,79.17,79.17,79.17
China,2022-09-29,79.17,79.17,79.17
China,2022-09-30,79.17,79.17,79.17
China,2022-10-01,79.17,79.17,79.17
China,2022-10-02,79.17,79.17,79.17
China,2022-10-03,79.17,79.17,79.17
China,2022-10-04,79.17,79.17,79.17
China,2022-10-05,79.17,79.17,79.17
China,2022-10-06,79.17,79.17,79.17
China,2022-10-07,79.17,79.17,79.17
China,2022-10-08,79.17,79.17,79.17
China,2022-10-09,79.17,79.17,79.17
China,2022-10-10,79.17,79.17,79.17
China,2022-10-11,79.17,79.17,79.17
China,2022-10-12,79.17,79.17,79.17
China,2022-10-13,79.17,79.17,79.17
China,2022-10-14,79.17,79.17,79.17
China,2022-10-15,79.17,79.17,79.17
China,2022-10-16,79.17,79.17,79.17
China,2022-10-17,79.17,79.17,79.17
China,2022-10-18,79.17,79.17,79.17
China,2022-10-19,79.17,79.17,79.17
China,2022-10-20,79.17,79.17,79.17
China,2022-10-21,79.17,79.17,79.17
China,2022-10-22,79.17,79.17,79.17
China,2022-10-23,79.17,79.17,79.17
China,2022-10-24,79.17,79.17,79.17
China,2022-10-25,79.17,79.17,79.17
China,2022-10-26,79.17,79.17,79.17
China,2022-10-27,79.17,79.17,79.17
China,2022-10-28,79.17,79.17,79.17
China,2022-10-29,79.17,79.17,79.17
China,2022-10-30,79.17,79.17,79.17
China,2022-10-31,79.17,79.17,79.17
China,2022-11-01,79.17,79.17,79.17
China,2022-11-02,79.17,79.17,79.17
China,2022-11-03,79.17,79.17,79.17
China,2022-11-04,79.17,79.17,79.17
China,2022-11-05,79.17,79.17,79.17
China,2022-11-06,79.17,79.17,79.17
China,2022-11-07,79.17,79.17,79.17
China,2022-11-08,79.17,79.17,79.17
China,2022-11-09,79.17,79.17,79.17
China,2022-11-10,79.17,79.17,79.17
China,2022-11-11,79.17,79.17,79.17
China,2022-11-12,79.17,79.17,79.17
China,2022-11-13,79.17,79.17,79.17
China,2022-11-14,79.17,79.17,79.17
China,2022-11-15,79.17,79.17,79.17
China,2022-11-16,79.17,79.17,79.17
China,2022-11-17,79.17,79.17,79.17
China,2022-11-18,79.17,79.17,79.17
China,2022-11-19,79.17,79.17,79.17
China,2022-11-20,79.17,79.17,79.17
China,2022-11-21,79.17,79.17,79.17
China,2022-11-22,79.17,79.17,79.17
China,2022-11-23,79.17,79.17,79.17
China,2022-11-24,79.17,79.17,79.17
China,2022-11-25,79.17,79.17,79.17
China,2022-11-26,79.17,79.17,79.17
China,2022-11-27,79.17,79.17,79.17
China,2022-11-28,79.17,79.17,79.17
China,2022-11-29,79.17,79.17,79.17
China,2022-11-30,79.17,79.17,79.17
China,2022-12-01,79.17,79.17,79.17
China,2022-12-02,79.17,79.17,79.17
China,2022-12-03,79.17,79.17,79.17
China,2022-12-04,79.17,79.17,79.17
China,2022-12-05,79.17,79.17,79.17
China,2022-12-06,79.17,79.17,79.17
China,2022-12-07,79.17,79.17,79.17
China,2022-12-08,68.98,68.98,68.98
China,2022-12-09,68.98,68.98,68.98
China,2022-12-10,68.98,68.98,68.98
China,2022-12-11,68.98,68.98,68.98
China,2022-12-12,68.98,68.98,68.98
China,2022-12-13,60.65,60.65,60.65
China,2022-12-14,55.09,55.09,55.09
China,2022-12-15,55.09,55.09,55.09
China,2022-12-16,55.09,55.09,55.09
China,2022-12-17,55.09,55.09,55.09
China,2022-12-18,55.09,55.09,55.09
China,2022-12-19,49.54,49.54,49.54
China,2022-12-20,49.54,49.54,49.54
China,2022-12-21,49.54,49.54,49.54
China,2022-12-22,49.54,49.54,49.54
China,2022-12-23,49.54,49.54,49.54
China,2022-12-24,49.54,49.54,49.54
China,2022-12-25,49.54,49.54,49.54
China,2022-12-26,49.54,49.54,49.54
China,2022-12-27,49.54,49.54,49.54
China,2022-12-28,49.54,49.54,49.54
China,2022-12-29,49.54,49.54,49.54
China,2022-12-30,49.54,49.54,49.54
China,2022-12-31,49.54,49.54,49.54
