X,citycode,yearweek,avg_tem,hw_days,avg_SO2,avg_NO2,avg_co,avg_O3,avg_PM10,week.Year,week.Month,gdp,soil.moisture,avg_PM2.5,NDVI,pop,pd,Cropland,Forest,Shrub,Grassland,Water,Ice,Barren,Impervious,Wetland,Cropland_per,Forest_per,Shrub_per,Grassland_per,Water_per,Ice_per,Barren_per,Impervious_per,Wetland_per
1100002013,110000,1100002013-50,-5.953433528,0,57.06363,56.73161,66.9710157,41.93429,110.349858,2013,12,96132.4948,0.178420866,72.80824641,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-35,18.88777222,0,14.806897,32.328818,57.7316359,106.11863,89.549781,2013,9,96132.4948,0.240264594,57.73163587,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-04,-3.884371921,0,81.368967,79.370609,154.3414161,43.90011,204.802504,2013,1,96132.4948,0.170744537,154.3414161,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-20,21.52521551,0,26.568063,37.342201,68.659028,139.6846,137.937248,2013,5,96132.4948,0.18616988,68.65902796,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-41,9.384361828,0,19.099015,44.145567,62.1274777,58.7089,102.495845,2013,10,96132.4948,0.212402506,62.12747767,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-27,23.68534957,2,12.610099,29.539327,55.7549691,113.91867,88.321009,2013,7,96132.4948,0.255997905,55.75496914,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-40,14.13529387,0,17.60115,41.388342,67.5777785,72.00636,114.014405,2013,10,96132.4948,0.212402506,67.57777845,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-08,0.631414034,0,50.989656,51.185223,82.8670666,68.91373,131.139724,2013,2,96132.4948,0.159129479,82.86706656,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-15,8.548393499,0,27.750657,37.673071,59.6653051,87.20997,117.240958,2013,4,96132.4948,0.17792109,59.66530512,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
1100002013,110000,1100002013-31,26.12931189,5,12.705829,28.668638,56.9249598,149.61202,96.64082,2013,8,96132.4948,0.240120201,56.92495983,0.723289423,19896172,1222.013849,4456121400,7816329000,41887800,442769400,166225500,0,853200,3375193500,0,0.27339208,0.47954763,0.0025699,0.0271648,0.01019827,0,0.00005235,0.20707496,0
